key,title,User1,Decision,User2,Decision,User3,Decision,User4,Decision,User5,Decision,labels,notes
rayyan-398577222,A Novel Architecture Using Node MCU For Localization And Tracking of People for Women Safety,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577223,Empowering Women’s Safety with smart IoT Technology: A Robust Protection System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577224,Anomaly Detection of Deepfake Audio Based on Real Audio Using Generative Adversarial Network Model,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577225,Biometric Identification using Periocular Images with ViT-DeepSort and YOLOv7-GAN,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577226,Project Management Effort Estimation Using Agile Manager game platform,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577227,Addressing the Cybersecurity Workforce Gap: Lessons from the Cyber Shujaa Program in Kenya,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao,3selecao,4selecao",""
rayyan-398577228,"Cyber Security Awareness, Knowledge and Behavior in the Banking Sector in Jordan",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577229,"Rethinking the Place of African Kitchen Hut as a Hub for Business Management, Marketing, Education, Health and Strategies in the Age of Artificial Intelligence",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577230,Women’s Safety System by Voice Recognition,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577231,Assessing the Impact of Artificial Intelligence on the Investment Decisions of Working Women,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577232,Smart Safety and Security Solution for Women using kNN Algorithm and IoT,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577233,Cyber Security Risk Management: E-Learning System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577234,Poster: A Case Study on Automated Vulnerability Repair Using Pre-Trained Language Models,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577235,Personal cyber security in email communication,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577236,"Gender Classification from Facial Images Using Combinations of Wavelet, PCA/LDA AND SVM",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577237,Active Learning Methodology in LLMs Fine-Tuning,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577238,"Improving the Student Experience to Broaden Participation in Electrical, Computer and Software Engineering",Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577239,Analysis of Artificial Intelligence subject results by gender,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577240,Lora Based Safety Smart Device for Woman Protection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577241,Fast Ellipse Fitting Implementation on USG Mobile Telehealth Application,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577242,An Insight into Android Applications for Safety of Women: Techniques and Applications,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577243,The Impact of Middle and High School Students Participation in the Innovation Nation Competition on Their Education,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577244,Patterns of learning in the cybersecurity profession: A mixed methods study to understand continuing professional development among cybersecurity professionals in Ireland,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577245,Automated Alert Generation Ensuring Women Safety Using Heartbeat Detection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577246,Speaker Identification through Gender Detection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577247,A Robust Anomaly Detection Framework Utilizing Feature Engineering and Ensemble Techniques with BETH Data,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577248,Security Education and Training for Non-technical School Students using Games,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577249,GenomomFF: Cost-Effective Method to Measure Fetal Fraction by Adaptive Multiple Regression Techniques With Optimally Selected Autosomal Chromosome Regions,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577250,Driving Coach Finder,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577251,Ensemble Method for Sexual Predators Identification in Online Chats,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577252,OmeTV Pretexting Phishing Attacks: A Case Study of Social Engineering,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577253,Digital Forensic Analysis of Online Dating Applications on Android Using the Digital Forensic Research Workshop 2001 Investigation Model,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577254,Bank Application: One-Time Password Generation,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577255,Enhancing Network Security: ML-Based Anomaly Detection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577256,Privacy-preserving face data synthesis for digital forensics applications using deep generative models,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578829,Machine Learning Approaches for Detecting Phishing Attacks in Cybersecurity,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398578830,"Assessing Cyber Security Awareness through Demographic Influences, Key Factors, and Common Threats: A Systematic Literature Review",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
